# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1596534065.1628734580,1,00:00:00,100.00%,$0.00,0,0.00%
1596613686.1629411017,1,00:03:56,0.00%,$0.00,0,100.00%
1596634.1628275411,1,00:00:00,100.00%,$0.00,0,0.00%
1596784724.1629975039,1,00:00:00,100.00%,$0.00,0,0.00%
1596886273.1628188750,1,00:00:00,100.00%,$0.00,0,0.00%
1596948829.1630728702,1,00:00:00,100.00%,$0.00,0,0.00%
1597151984.1629660279,1,00:00:00,100.00%,$0.00,0,0.00%
1597590428.1629284337,1,00:02:57,0.00%,$0.00,0,0.00%
159763027.1629871340,1,00:00:13,0.00%,$0.00,0,0.00%
1597707258.1628733802,1,00:00:00,100.00%,$0.00,0,0.00%
1597947449.1628471083,1,00:00:00,100.00%,$0.00,0,0.00%
1598089826.1628718904,1,00:02:39,0.00%,$0.00,0,0.00%
1598111319.1630022473,1,00:00:00,100.00%,$0.00,0,0.00%
1598249111.1630600813,1,00:00:00,100.00%,$0.00,0,0.00%
1598419661.1630177171,1,00:00:00,100.00%,$0.00,0,0.00%
1598971255.1630293827,1,00:00:00,100.00%,$0.00,0,0.00%
1598978220.1628624572,1,00:09:29,0.00%,$0.00,0,100.00%
1599035737.1629572940,1,00:01:21,0.00%,$0.00,0,0.00%
1599233504.1629172413,1,00:00:00,100.00%,$0.00,0,0.00%
1599406514.1628045876,1,00:01:28,0.00%,$0.00,0,0.00%
1599664794.1628924716,1,00:00:00,100.00%,$0.00,0,0.00%
1599685948.1628633490,1,00:00:00,100.00%,$0.00,0,0.00%
1599764302.1630029005,1,00:00:00,100.00%,$0.00,0,0.00%
160029408.1630519898,1,00:00:00,100.00%,$0.00,0,0.00%
1600295262.1630739574,1,00:00:00,100.00%,$0.00,0,0.00%
1600305362.1629329123,1,00:04:43,0.00%,$0.00,0,100.00%
1600587929.1628026096,1,00:00:00,100.00%,$0.00,0,0.00%
1600652705.1628650355,1,00:00:00,100.00%,$0.00,0,0.00%
1600818304.1629251512,1,00:00:00,100.00%,$0.00,0,0.00%
1600823300.1628261193,1,00:00:00,100.00%,$0.00,0,0.00%
160082577.1629905378,1,00:00:00,100.00%,$0.00,0,0.00%
1601001143.1629345575,1,00:00:00,100.00%,$0.00,0,0.00%
1601297977.1628714388,1,00:00:00,100.00%,$0.00,0,0.00%
160201106.1629071531,1,00:00:00,100.00%,$0.00,0,0.00%
1602112907.1628756100,1,00:00:00,100.00%,$0.00,0,0.00%
1602779053.1629901467,1,00:00:00,100.00%,$0.00,0,0.00%
1602797596.1628135267,1,00:04:48,0.00%,$18.65,1,200.00%
1602882891.1629206192,1,00:00:00,100.00%,$0.00,0,0.00%
1602958222.1630193823,1,00:00:00,100.00%,$0.00,0,0.00%
1603750349.1629959412,1,00:01:33,0.00%,$0.00,0,0.00%
1603812169.1629604141,1,00:00:00,100.00%,$0.00,0,0.00%
1603905150.1629424558,1,00:00:00,100.00%,$0.00,0,0.00%
1604326680.1629039099,1,00:00:00,100.00%,$0.00,0,0.00%
1604516434.1630306698,1,00:00:00,100.00%,$0.00,0,0.00%
1604740700.1629999515,1,00:00:00,100.00%,$0.00,0,0.00%
160512032.1629158847,1,00:00:00,100.00%,$0.00,0,0.00%
1605303205.1628763625,1,00:00:39,0.00%,$0.00,0,0.00%
1605400346.1630870805,1,00:00:00,100.00%,$0.00,0,0.00%
1605842520.1628720209,1,00:00:00,100.00%,$0.00,0,0.00%
1606007763.1630029525,1,00:00:18,0.00%,$0.00,0,0.00%
1606272099.1628644447,1,00:00:00,100.00%,$0.00,0,0.00%
1606633546.1630197811,1,00:01:35,0.00%,$0.00,0,0.00%
1606977349.1629126674,1,00:00:00,100.00%,$0.00,0,0.00%
1607290277.1628005261,1,00:00:00,100.00%,$0.00,0,0.00%
1607472233.1627955026,1,00:00:00,100.00%,$0.00,0,0.00%
1607640060.1627860284,1,00:00:00,100.00%,$0.00,0,0.00%
1607759582.1628683397,1,00:00:00,100.00%,$0.00,0,0.00%
1607919409.1628997827,1,00:00:00,100.00%,$0.00,0,0.00%
1608088607.1630795637,1,00:00:00,100.00%,$0.00,0,0.00%
1608283833.1628282066,1,00:10:25,0.00%,$15.37,1,100.00%
1608562214.1630109849,1,00:00:00,100.00%,$0.00,0,0.00%
1608908130.1630959662,1,00:00:00,100.00%,$0.00,0,0.00%
1609323522.1627862829,1,00:00:00,100.00%,$0.00,0,0.00%
1609570048.1628272945,1,00:00:00,100.00%,$0.00,0,0.00%
1609681288.1629479451,1,00:03:08,0.00%,$0.00,0,0.00%
1609695944.1630075037,1,00:00:00,100.00%,$0.00,0,0.00%
160987614.1628357893,1,00:00:00,100.00%,$0.00,0,0.00%
1610151444.1628404238,1,00:00:00,100.00%,$0.00,0,0.00%
1610231188.1630852460,1,00:00:00,100.00%,$0.00,0,0.00%
1610249007.1627866213,1,00:00:00,100.00%,$0.00,0,0.00%
1610294979.1630173789,1,00:00:00,100.00%,$0.00,0,0.00%
161045033.1630763330,1,00:00:00,100.00%,$0.00,0,0.00%
